date,open,close,high,low,change_pct,volume,turnover_rate,pe,pb
2016-01-04,11.0719,10.0506,11.0719,10.0506,-9.9982,2588597,7.0592,58.6233,5.9438
2016-01-05,9.5238,10.0101,10.3303,9.4407,-0.4032,2857888,7.7935,58.3869,5.9198
2016-01-06,9.9858,10.5268,10.6585,9.9696,5.1619,2778136,7.576,61.4008,6.2254
2016-01-07,10.2087,9.4833,10.3141,9.4752,-9.9134,646600,1.7633,55.3139,5.6083
2016-01-08,9.8277,9.5846,10.0304,9.0375,1.0684,2485366,6.7777,55.9049,5.6682
2016-01-11,9.234,8.6322,9.5197,8.6261,-9.9366,3171286,8.6482,50.3498,5.105
2016-01-12,8.7538,8.8065,8.9726,8.5957,2.0188,2242958,6.1166,51.3663,5.208
2016-01-13,8.8875,7.9655,8.9666,7.9473,-9.549,2778406,7.5768,46.4613,4.7107
2016-01-14,7.6089,8.4073,8.5106,7.6049,5.5457,2663784,7.2642,49.0379,4.9719
2016-01-15,8.3789,7.9574,8.5025,7.8217,-5.3507,2328251,6.3492,46.4141,4.7059
2016-01-18,7.7406,8.3445,8.5714,7.7204,4.8638,2136519,5.8263,48.6715,4.9348
2016-01-19,8.308,8.8186,8.8531,8.2837,5.6824,2456898,6.7,51.4372,5.2152
2016-01-20,8.774,8.8247,9.0375,8.6322,0.0689,2582267,7.0419,51.4727,5.2188
2016-01-21,8.7173,8.4539,9.0354,8.4498,-4.2021,2445865,6.6699,49.3098,4.9995
2016-01-22,8.6423,8.8227,8.8247,8.3505,4.3624,2342766,6.3888,51.4609,5.2176
2016-01-25,8.9159,8.8044,8.999,8.6727,-0.2067,1715644,4.6786,51.3545,5.2068
2016-01-26,8.6727,7.925,8.6727,7.925,-9.9885,2265665,6.1785,46.2249,4.6867
2016-01-27,8.0425,8.2046,8.233,7.7204,3.5285,2607824,7.1116,47.856,4.8521
2016-01-28,8.0729,7.4812,8.1824,7.4022,-8.817,2043942,5.5739,43.6365,4.4243
2016-01-29,7.4995,7.8561,8.004,7.4772,5.0108,1884557,5.1392,45.8231,4.646
2016-02-01,7.8602,7.9635,8.075,7.7224,1.367,1659988,4.5268,46.4495,4.7095
2016-02-02,7.9453,8.2958,8.3607,7.9453,4.173,2025723,5.5242,48.3879,4.906
2016-02-03,8.2107,8.2492,8.3039,7.9939,-0.5618,1629244,4.443,48.116,4.8785
2016-02-04,8.233,8.5451,8.6099,8.233,3.5863,2018172,5.5036,49.8416,5.0534
2016-02-05,8.5836,8.3668,8.5836,8.3586,-2.0868,1675048,4.5679,48.8015,4.948
2016-02-15,7.9838,8.233,8.2857,7.9027,-1.5984,1471029,4.0115,48.0215,4.8689
2016-02-16,8.306,8.6241,8.6464,8.306,4.7502,2164890,5.9037,50.3026,5.1002
2016-02-17,8.5917,8.9199,8.9564,8.5714,3.4304,3108221,8.4762,52.0282,5.2751
2016-02-18,9.001,8.8369,9.0273,8.7396,-0.9314,2878630,7.8501,51.5436,5.226
2016-02-19,8.8308,9.0172,9.0658,8.7943,2.0408,2354459,6.4207,52.5955,5.3326
2016-02-22,9.1428,9.2523,9.5035,9.1185,2.6067,2615917,7.1337,53.9665,5.4716
2016-02-23,9.2178,9.2158,9.3779,8.9787,-0.3942,2234329,6.0931,53.7538,5.4501
2016-02-24,9.2077,9.0051,9.3171,8.7153,-2.2867,2768713,7.5503,52.5246,5.3254
2016-02-25,8.9098,8.1054,8.9909,8.1054,-9.991,2658230,7.2491,47.2769,4.7934
