date,open,close,high,low,change_pct,volume,turnover_rate,pe,pb
2016-01-04,14.6206,13.4089,14.7504,13.3533,-9.2469,8767186,0.4882,22.9813,3.4028
2016-01-05,12.9205,13.3285,13.786,12.8463,-0.5994,14341941,0.7985,22.8435,3.3824
2016-01-06,13.5202,13.5634,13.6253,13.2791,1.7625,9164323,0.5103,23.2462,3.442
2016-01-07,13.3533,12.7227,13.3533,12.5001,-6.1987,3241126,0.1805,21.8052,3.2287
2016-01-08,12.9205,13.0441,13.2172,12.7041,2.5267,11560253,0.6437,22.3562,3.3102
2016-01-11,12.902,12.3085,13.1307,12.2405,-5.6398,11150969,0.6209,21.0953,3.1236
2016-01-12,12.4878,12.4383,12.6794,12.2467,1.0548,6499932,0.3619,21.3178,3.1565
2016-01-13,12.5372,12.3208,12.698,12.2899,-0.9443,7431027,0.4138,21.1165,3.1267
2016-01-14,12.055,12.5929,12.7041,11.9623,2.2077,7202441,0.401,21.5827,3.1957
2016-01-15,12.5063,11.8634,12.5187,11.6285,-5.7928,7319769,0.4076,20.3325,3.0106
2016-01-18,11.4986,11.8325,12.2096,11.4863,-0.2606,8380340,0.4666,20.2795,3.0028
2016-01-19,11.7212,12.1539,12.2281,11.6717,2.7168,6731327,0.3748,20.8304,3.0843
2016-01-20,12.1107,12.0859,12.3579,11.9252,-0.5595,6785678,0.3778,20.7139,3.0671
2016-01-21,11.8696,11.6903,12.2096,11.6285,-3.2737,5969188,0.3324,20.0358,2.9667
2016-01-22,11.8696,11.715,11.9252,11.5481,0.2115,5565136,0.3099,20.0782,2.9729
2016-01-25,11.7645,11.9437,12.0427,11.7645,1.9525,3422559,0.1906,20.4702,3.031
2016-01-26,11.6841,11.0103,11.9314,10.831,-7.8157,6599776,0.3675,18.8703,2.7941
2016-01-27,11.0164,11.1401,11.2204,10.3302,1.1791,10301302,0.5736,19.0928,2.827
2016-01-28,10.967,10.8495,11.2204,10.7135,-2.6082,9480818,0.5279,18.5948,2.7533
2016-01-29,10.8124,11.0906,11.3317,10.6393,2.2222,13408697,0.7466,19.008,2.8145
2016-02-01,11.0535,11.3008,11.4244,11.0041,1.8952,7371651,0.4104,19.3683,2.8678
2016-02-02,11.3626,11.5543,11.6655,11.2884,2.2429,4296642,0.2392,19.8027,2.9322
2016-02-03,11.4677,11.6903,11.7645,11.4677,1.1771,4020105,0.2238,20.0358,2.9667
2016-02-04,11.6532,11.8325,11.8881,11.6532,1.2163,4728406,0.2633,20.2795,3.0028
2016-02-05,11.8634,11.5357,11.8696,11.5295,-2.5078,5356894,0.2983,19.7709,2.9274
2016-02-15,11.2081,11.4306,11.511,11.2081,-0.911,3178063,0.177,19.5908,2.9008
2016-02-16,11.5481,11.9128,11.9376,11.5481,4.2185,6870805,0.3826,20.4172,3.0231
2016-02-17,11.8572,11.8572,11.8757,11.6223,-0.467,8371647,0.4661,20.3219,3.009
2016-02-18,11.8819,11.8077,11.9623,11.7397,-0.4171,6613236,0.3682,20.2371,2.9965
2016-02-19,11.7892,11.6161,11.8386,11.5543,-1.623,3817688,0.2126,19.9086,2.9478
2016-02-22,11.6841,11.7954,11.8634,11.6594,1.5434,6917016,0.3851,20.2159,2.9933
2016-02-23,11.7954,11.5605,11.8696,11.3997,-1.9916,7738362,0.4309,19.8133,2.9337
2016-02-24,11.5172,11.3874,11.6285,11.2081,-1.4973,5138140,0.2861,19.5166,2.8898
2016-02-25,11.3317,10.5775,11.3874,10.3859,-7.1118,8245974,0.4591,18.1286,2.6843
2016-02-26,10.6764,10.559,10.7753,10.2066,-0.1753,7577782,0.4219,18.0968,2.6796
2016-02-29,10.3735,9.8295,10.4353,9.6811,-6.9087,8475279,0.4719,16.8466,2.4944
2016-03-01,9.8047,10.0211,10.188,9.78,1.9497,8191327,0.4561,17.175,2.5431
2016-03-02,10.1695,10.5095,10.5651,9.984,4.8735,7824361,0.4357,18.0121,2.667
2016-03-03,10.491,10.5281,10.6208,10.4168,0.1765,5652686,0.3147,18.0439,2.6717
2016-03-04,10.5281,10.2313,10.5466,10.1757,-2.8186,9144484,0.5092,17.5353,2.5964
2016-03-07,10.4724,10.6641,10.7444,10.3364,4.2296,7127207,0.3968,18.277,2.7062
2016-03-08,10.695,10.8681,11.0164,10.3859,1.913,4629726,0.2578,18.6266,2.758
2016-03-09,10.559,10.6702,10.7506,10.4786,-1.8202,4258124,0.2371,18.2876,2.7078
2016-03-10,10.6826,10.6517,10.7692,10.5651,-0.1738,4430110,0.2467,18.2558,2.7031
2016-03-11,10.6022,10.5281,10.6641,10.4477,-1.1608,4941110,0.2751,18.0439,2.6717
2016-03-14,10.6764,10.7877,10.9113,10.5651,2.4662,4797041,0.2671,18.4889,2.7376
2016-03-15,10.8248,11.1772,11.2514,10.5281,3.6103,6016167,0.335,19.1564,2.8365
2016-03-16,11.0535,10.8557,11.1277,10.8495,-2.8761,2368700,0.1319,18.6054,2.7549
2016-03-17,10.8372,11.1215,11.1586,10.8372,2.4487,3266802,0.1819,19.061,2.8223
2016-03-18,11.1339,11.3997,11.4492,11.1339,2.5014,4581193,0.2551,19.5378,2.8929
2016-03-21,11.6099,11.579,11.6841,11.4368,1.5727,4681512,0.2607,19.8451,2.9384
2016-03-22,11.4554,11.6285,11.9005,11.4492,0.4271,6409123,0.3569,19.9298,2.951
2016-03-23,11.9314,11.8016,11.9932,11.7521,1.4886,5192704,0.2891,20.2265,2.9949
2016-03-24,11.7459,11.7645,11.9932,11.4368,-0.3143,4996149,0.2782,20.1629,2.9855
2016-03-25,11.6655,11.7645,11.8386,11.5975,0.0,3018122,0.168,20.1629,2.9855
2016-03-28,11.715,11.5172,11.8881,11.4368,-2.102,3960127,0.2205,19.7391,2.9227
2016-03-29,11.5481,11.3626,11.6223,11.2143,-1.3419,3762764,0.2095,19.4742,2.8835
2016-03-30,11.4244,11.7026,11.7645,11.4244,2.9924,5183309,0.2886,20.057,2.9698
2016-03-31,11.7583,11.7212,11.8572,11.6285,0.1585,3067503,0.1708,20.0888,2.8914
2016-04-01,11.6841,11.5543,11.7892,11.3626,-1.424,2344011,0.1305,19.8027,2.8502
2016-04-05,11.5543,11.8263,11.9066,11.443,2.3542,5285570,0.2943,20.2689,2.9173
2016-04-06,11.7645,11.919,11.9747,11.715,0.7841,5303935,0.2953,20.4278,2.9402
2016-04-07,11.9252,11.6037,12.0488,11.5481,-2.6452,4486308,0.2498,19.8874,2.8624
2016-04-08,11.5543,11.3564,11.7397,11.2266,-2.1311,3544902,0.1974,19.4636,2.8014
2016-04-11,11.5295,11.8201,12.0056,11.443,4.0827,6507662,0.3623,20.2583,2.9158
2016-04-12,11.8139,11.8448,11.9623,11.7274,0.2092,3380335,0.1882,20.3007,2.9219
2016-04-13,11.8634,11.8943,12.1354,11.851,0.4175,6533752,0.3638,20.3854,2.9341
2016-04-14,12.0117,11.8881,12.0427,11.7768,-0.052,3204156,0.1784,20.3748,2.9325
2016-04-15,11.9066,11.8448,11.9499,11.7768,-0.364,2698038,0.1502,20.3007,2.9219
2016-04-18,11.8077,11.4677,11.8077,11.4183,-3.1837,3329170,0.1854,19.6544,2.8288
2016-04-19,11.6223,11.5481,11.647,11.4059,0.7008,3913296,0.2179,19.7921,2.8487
2016-04-20,11.6223,10.9546,11.647,10.7877,-5.1392,4565177,0.2542,18.7749,2.7023
2016-04-21,10.9299,10.8372,11.0906,10.8248,-1.0722,2891520,0.161,18.5736,2.6733
2016-04-22,10.7568,11.0721,11.0968,10.7135,2.1677,3525655,0.1963,18.9763,2.7312
2016-04-25,10.9422,10.8248,10.9484,10.7135,-2.2334,3734414,0.2079,18.5524,2.6702
2016-04-26,10.8681,10.9855,11.0041,10.831,1.4849,3010735,0.1676,18.8279,2.7099
2016-04-27,10.9917,10.967,11.0535,10.9422,-0.1688,2860178,0.1593,18.7961,2.7053
